id,max_seq_length,model_type,max_epochs,train_epochs,batch_size,warmup_epoch_count,max_learn_rate,end_learn_rate,train_f1,test_f1,test_f1_N,test_f1_C,test_f1_P
0,512,TD_Dense,100,19,10,10,1e-05,1e-06,0.671210317444574,0.646602914720738,0.763039676796913,0.647612986948167,0.529156080417135
1,512,TD_Dense,100,27,10,15,1e-05,1e-06,0.707826838239308,0.658913431220179,0.761272580721635,0.634114591893758,0.581353121045143
2,512,TD_Dense,100,38,10,20,1e-05,1e-06,0.789322946033266,0.690864954894583,0.771775734959498,0.670587820941781,0.63023130878247
3,512,1D_Conv,100,41,10,10,1e-05,1e-06,0.687276046059757,0.621456778469022,0.731505179768434,0.608957018334836,0.523908137303794
4,512,1D_Conv,100,26,10,15,1e-05,1e-06,0.163490130851324,0.170802512396689,0.0891331586741086,0.423274378515958,0
5,512,1D_Conv,100,47,10,20,1e-05,1e-06,0.636331798119082,0.54488411205229,0.703167221768366,0.497009635981318,0.434475478407188
6,512,Stacked_LSTM,100,31,10,10,1e-05,1e-06,0.806628048919152,0.648219678475754,0.738173448289315,0.624949044713681,0.581536542424266
7,512,Stacked_LSTM,100,32,10,15,1e-05,1e-06,0.776838787909605,0.638662925020561,0.732689175668076,0.613166631348449,0.570132968045157
8,512,Stacked_LSTM,100,31,10,20,1e-05,1e-06,0.761221340524517,0.640768100541298,0.721947724321177,0.592165333459929,0.608191243842789
9,512,TD_Dense,100,21,10,10,1e-05,1e-07,0.708200658010212,0.668751363644456,0.771957780246769,0.633985647634182,0.600310663052417
10,512,TD_Dense,100,23,10,15,1e-05,1e-07,0.732190169975538,0.669325314666851,0.766940520695753,0.642463026166098,0.5985723971387
11,512,TD_Dense,100,29,10,20,1e-05,1e-07,0.73902591110571,0.677109560523908,0.763836442312367,0.646417917815561,0.621074321443797
12,512,1D_Conv,100,27,10,10,1e-05,1e-07,0.208593609024688,0.19056587952648,0.141818362925517,0.429879275653924,0
13,512,1D_Conv,100,29,10,15,1e-05,1e-07,0.184607477582314,0.178863507705872,0.112232452789728,0.365913613484724,0.0584444568431624
14,512,1D_Conv,100,54,10,20,1e-05,1e-07,0.630626582322501,0.527237853642561,0.650811112570603,0.438702873714738,0.492199574642343
15,512,Stacked_LSTM,100,26,10,10,1e-05,1e-07,0.764692165125579,0.648463119233242,0.74100982408042,0.608058608058608,0.596320925560696
16,512,Stacked_LSTM,100,29,10,15,1e-05,1e-07,0.735490750172675,0.626637326833387,0.724531670722401,0.580974818235716,0.574405491542045
17,512,Stacked_LSTM,100,28,10,20,1e-05,1e-07,0.758713399925934,0.653928581214967,0.738197759073107,0.631938923764357,0.591649060807437
